longitude_deg,radius_kpc,velocity_km_s,frequency_mhz
5.0,0.7146770905307969,200.8257365955152,1419.4542467412655
6.0,0.8571333987947584,197.0037380811162,1419.4723552310832
7.0,0.9993286159222092,193.18874445086757,1419.4904305320147
8.0,1.1412194278725365,189.38191778878561,1419.5084671381485
9.0,1.282762613329893,185.5844176911492,1419.5264595553595
10.0,1.4239150568688286,181.79740091327534,1419.544402302983
11.0,1.5646337620876674,178.02202101716014,1419.5622899154844
12.0,1.7048758647056264,174.25942802009294,1419.5801169441238
13.0,1.8445986456196928,170.5107680443497,1419.597877958615
14.0,1.9837595439172753,166.7771829680731,1419.6155675487819
15.0,2.12231616984067,163.05981007744543,1419.633180326203
16.0,2.260226317699393,159.3597817202602,1419.6507109258562
17.0,2.3974479787264413,155.6782249609979,1419.6681540077511
18.0,2.5339393538745685,152.01626123751157,1419.6855042585555
19.0,2.669658866548685,148.3750060194255,1419.7027563932154
20.0,2.804565175270483,144.7555684683529,1419.7199051565633
21.0,2.938617186271462,141.15905110003393,1419.7369453249196
22.0,3.0717740660104784,137.58654944849937,1419.7538717076843
23.0,3.2039952536120446,134.03915173235976,1419.770679148917
24.0,3.3352404732215613,130.51793852332398,1419.787362528908
25.0,3.465469746273735,127.02398241704611,1419.803916765739
26.0,3.5946434036704344,123.55834770640297,1419.820336816828
27.0,3.722722097864283,120.12209005729972,1419.8366176804693
28.0,3.849666814844304,116.71625618710404,1419.8527543973537
29.0,3.9754388860199636,113.34188354580586,1419.8687420520807
30.0,4.099999999999999,110.0,1419.8845757746562
31.0,4.223312214262443,106.69162351978808,1419.9002507419748
32.0,4.34533796671228,103.41776186869492,1419.9157621792897
33.0,4.466040087123222,100.17941229669404,1419.9311053616666
34.0,4.5853818084601246,96.97756123643568,1419.9462756154235
35.0,4.703326778078577,93.81318400276987,1419.9612683195546
36.0,4.819839068798279,90.6872444956559,1419.9760789071363
37.0,4.934883189846795,87.60069490654938,1419.9907028667208
38.0,5.048424097670398,84.55447542835518,1420.005135743708
39.0,5.1604272066086665,81.54951396903577,1420.0193731417037
40.0,5.270858399429621,78.58672586896137,1420.0334107238584
41.0,5.379684037722159,75.6670136220884,1420.0472442141893
42.0,5.486870972142637,72.79126660105119,1420.0608693988806
43.0,5.592386552512487,69.96036078625033,1420.0742821275692
44.0,5.696198637763777,67.1751584990206,1420.0874783146082
45.0,5.79827560572969,64.43650813895954,1420.100453940311
46.0,5.898586362776939,61.74524392549674,1420.1132050521762
47.0,5.997100353277197,59.1021856437825,1420.1257277660918
48.0,6.093787568914633,56.508138394973265,1420.138018267518
49.0,6.18861855782673,53.96389235099016,1420.1500728126487
50.0,6.281564433575619,51.47022251382484,1420.1618877295527
51.0,6.3725968839471605,49.0278884794664,1420.173459419292
52.0,6.46168817957512,46.637634206521156,1420.1847843570176
53.0,6.548811182387801,44.300187789595576,1420.195859093044
54.0,6.633939353874569,42.01626123751156,1420.2066802538993
55.0,6.717046763169733,39.786550256421805,1420.217244543353
56.0,6.798108094951342,37.61173403789082,1420.2275487434201
57.0,6.877098657152477,35.49247505200671,1420.2375897153415
58.0,6.953994388482693,33.42941884558626,1420.24736440054
59.0,7.028771865757321,31.423193845535287,1420.2568698215516
60.0,7.101408311032396,29.474411167423508,1420.2661030829331
61.0,7.171881598543044,27.583664429332938,1420.275061372144
62.0,7.2401702614431995,25.751529571036087,1420.2837419604018
63.0,7.306253498344615,23.97856467855909,1420.2921422035158
64.0,7.370111179653169,22.26530981418325,1420.3002595426906
65.0,7.431723853700529,20.612286851937014,1420.3080915053058
66.0,7.491072752669327,19.01999931862781,1420.3156357056698
67.0,7.54813979831001,17.488932240463118,1420.3228898457462
68.0,7.602907607447656,16.019551995306767,1420.3298517158535
69.0,7.655359497277054,14.612306170615616,1420.3365191953387
70.0,7.705479490444447,13.26762342710017,1420.342890253223
71.0,7.753252319914396,11.985913368150317,1420.3489629488206
72.0,7.798663433620258,10.767566415066224,1420.354735432329
73.0,7.84169899889689,9.612953688132205,1420.3602059453945
74.0,7.882345906694214,8.522426893569843,1420.3653728216457
75.0,7.92059177557036,7.496318216404971,1420.3702344872013
76.0,7.95642495546317,6.5349402192807755,1420.3747894611517
77.0,7.9898345312389285,5.638585747248246,1420.3790363560079
78.0,8.020810326017205,4.807527838562773,1420.3829738781237
79.0,8.049342904270844,4.042019641513925,1420.3866008280922
80.0,8.075423574700105,3.3422943373142355,1420.3899161011093
81.0,8.09904439288013,2.7085650690696905,1420.3929186873108
82.0,8.120198163680877,2.1410248768545204,1420.3956076720797
83.0,8.13887844345884,1.6398466389091637,1420.397982236325
84.0,8.15507954201984,1.2051830189798762,1420.400041656732
85.0,8.168796524352313,0.8371664198159801,1420.4017853059809
86.0,8.180025212130557,0.5359089428386765,1420.4032126529391
87.0,8.188762184987505,0.3015023539937567,1420.4043232628233
88.0,8.195004781556584,0.13401805579893233,1420.4051167973307
89.0,8.198751100282408,0.03350706559392069,1420.405593014743
